,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_CCSDT_pt_corr,E_CCSDT_1_corr,E_CCSDT_1_s_corr,E_CCSDT_1_os_corr,E_MP2_corr,E_MP2_s_corr,E_MP2_os_corr,E_CCSDT_rt_corr,E_CCSDT_rt_s_corr,E_CCSDT_rt_os_corr
43,4.0,True,796,1170,,,,,,,,,,,,,,-9.146555773118774,-4.181451178504837,-4.965104594613937,,,
44,4.0,True,796,1194,,,,,,,,,,,,,,-9.831406989533006,-4.491860256208632,-5.339546733324374,,,
45,4.0,True,796,1224,,,,,,,,,,,,,,-10.662839061341868,-4.866750175579824,-5.7960888857620425,,,
46,4.0,True,832,1224,,,,,,,,,,,,,,-9.90474312287363,-4.542106515817503,-5.3626366070561255,,,
47,4.0,True,832,1260,,,,,,,,,,,,,,-10.97039643340776,-5.025709359402014,-5.9446870740057465,,,
48,4.0,True,862,1260,,,,,,,,,,,,,,-10.168740354141548,-4.669550930077245,-5.499189424064304,,,
49,4.0,True,862,1308,,,,,,,,,,,,,,-11.614175483021633,-5.325081317950249,-6.289094165071382,,,
50,4.0,True,886,1308,,,,,,,,,,,,,,-10.776063499620316,-4.94286756256739,-5.833195937052927,,,
51,4.0,True,886,1350,,,,,,,,,,,,,,-12.031912736098898,-5.513101920999887,-6.518810815099011,,,
52,4.0,True,912,1350,,,,,,,,,,,,,,-11.650430526685364,-5.351840509851,-6.298590016834364,,,
53,4.0,True,912,1380,,,,,,,,,,,,,,-12.43700973132163,-5.703728350688086,-6.733281380633544,,,
54,4.0,True,912,1404,,,,,,,,,,,,,,-13.21416083280822,-6.058536776107437,-7.1556240567007805,,,
55,4.0,True,960,1404,,,,,,,,,,,,,,-12.578999623331349,-5.799233946218385,-6.779765677112963,,,
56,4.0,True,960,1458,,,,,,,,,,,,,,-14.426822186626923,-6.64629775773942,-7.780524428887505,,,
57,4.0,True,960,1476,,,,,,,,,,,,,,-14.96477306304202,-6.890006770435495,-8.074766292606526,,,
58,4.0,True,978,1458,,,,,,,,,,,,,,-13.576739403024051,-6.259757574458872,-7.31698182856518,,,
59,4.0,True,978,1476,,,,,,,,,,,,,,-14.098950410314115,-6.495952777702446,-7.602997632611672,,,
60,4.0,True,978,1502,,,,,,,,,,,,,,-14.82586173470833,-6.823221602206352,-8.002640132501979,,,
61,4.0,True,1008,1476,,,,,,,,,,,,,,-13.355922745508073,-6.165576166145828,-7.1903465793622425,,,
62,4.0,True,1008,1502,,,,,,,,,,,,,,-14.253183950564916,-6.57739570405377,-7.675788246511147,,,
63,4.0,True,1008,1538,,,,,,,,,,,,,,-15.09311996973802,-6.949677399039434,-8.143442570698586,,,
64,4.0,True,1056,1568,,,,,,,,,,,,,,-14.531606928650069,-6.704800758354612,-7.826806170295455,,,
65,4.0,True,1056,1622,,,,,,,,,,,,,,-16.245853007749858,-7.48710972332772,-8.758743284422138,,,
66,4.0,True,1068,1568,,,,,,,,,,,,,,-14.1021963100057,-6.507216256228584,-7.594980053777114,,,
67,4.0,True,1068,1622,,,,,,,,,,,,,,-15.85012590379885,-7.305887530801877,-8.544238372996972,,,
68,4.0,True,1104,1622,,,,,,,,,,,,,,-15.504435522535772,-7.17786130508617,-8.326574217449602,,,
69,4.0,True,1104,1676,,,,,,,,,,,,,,-17.193643383196697,-7.9461097164577295,-9.247533666738969,,,
70,4.0,True,1104,1694,,,,,,,,,,,,,,-17.836252807897452,-8.242257230171568,-9.593995577725885,,,
71,4.0,True,1158,1694,,,,,,,,,,,,,,-15.675116027983371,-7.259544844151355,-8.415571183832018,,,
72,4.0,True,1158,1718,,,,,,,,,,,,,,-16.5639847862331,-7.669318251108717,-8.894666535124385,,,
73,4.0,True,1158,1772,,,,,,,,,,,,,,-18.077813011007912,-8.352182296767845,-9.725630714240069,,,
74,4.0,True,1170,1718,,,,,,,,,,,,,,-16.16844991832181,-7.489602923659443,-8.678846994662365,,,
75,4.0,True,1170,1772,,,,,,,,,,,,,,-17.87788675600802,-8.268451079031625,-9.609435676976396,,,
76,4.0,True,1194,1772,,,,,,,,,,,,,,-16.776040826411595,-7.762679835735263,-9.013360990676333,,,
77,4.0,True,1194,1802,,,,,,,,,,,,,,-17.747264348560414,-8.207390487561657,-9.539873860998757,,,
78,4.0,True,1224,1802,,,,,,,,,,,,,,-17.71589527765442,-8.224850875864664,-9.491044401789756,,,
