,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_DCSDT_corr,E_DCSDT_s_corr,E_DCSDT_os_corr,E_CCSDT_ring_corr,E_CCSDT_ring_s_corr,E_CCSDT_ring_os_corr
53,0.5,False,14,4410,-0.5875931387327604,-0.1391392118883477,-0.4484539268444127,,,,-0.5912143635666024,-0.1402203899917894,-0.4509939735748129,,,,-0.5931217507375507,-0.1408838536958429,-0.4522378970417077
54,0.5,False,14,4602,-0.587630060987574,-0.1391399110374746,-0.4484901499500993,,,,-0.5912513826256579,-0.1402211270843134,-0.4510302555413444,,,,-0.5931591831202808,-0.1408847892706364,-0.4522743938496443
55,0.5,False,14,4650,-0.5876389104208641,-0.1391400741889728,-0.4484988362318913,,,,-0.5912602552003816,-0.1402212993272835,-0.4510389558730981,,,,-0.5931681447597423,-0.1408850047568913,-0.4522831400028509
56,0.5,False,14,4746,-0.5876554032665363,-0.1391403950490815,-0.4485150082174547,,,,-0.5912767913833044,-0.1402216374124266,-0.4510551539708777,,,,-0.5931848609643818,-0.1408854295402306,-0.4522994314241512
57,0.5,False,14,4938,-0.5876890451433479,-0.1391410621347242,-0.4485479830086237,,,,-0.5913105221000696,-0.1402223392961893,-0.4510881828038802,,,,-0.5932189330557847,-0.1408862969868167,-0.4523326360689679
58,0.5,False,14,5034,-0.5877048144228441,-0.1391412875188827,-0.4485635269039613,,,,-0.5913263325610074,-0.1402225809805183,-0.4511037515804891,,,,-0.5932349103433054,-0.1408866194854001,-0.4523482908579053
59,0.5,False,14,5106,-0.5877149728993581,-0.1391414767200223,-0.4485734961793358,,,,-0.5913365174765123,-0.1402227807069032,-0.4511137367696091,,,,-0.5932452052072221,-0.1408868722483977,-0.4523583329588244
60,0.5,False,14,5202,-0.5877280089394308,-0.1391417002051753,-0.4485863087342555,,,,-0.5913495875562019,-0.1402230178185355,-0.4511265697376664,,,,-0.5932584131602046,-0.1408871757187858,-0.4523712374414187
61,0.5,False,14,5442,-0.5877611274626298,-0.1391422817855909,-0.4486188456770387,,,,-0.5913827930460729,-0.1402236338580626,-0.4511591591880103,,,,-0.5932919494258249,-0.1408879528131522,-0.4524039966126727
62,0.5,False,14,5554,-0.5877758362621108,-0.1391425073607136,-0.4486333289013972,,,,-0.5913975402150417,-0.1402238746286724,-0.4511736655863692,,,,-0.5933068510906163,-0.1408882682411329,-0.4524185828494834
63,0.5,False,14,5602,-0.5877816984578053,-0.1391425784339425,-0.4486391200238626,,,,-0.5914034175234277,-0.1402239517402964,-0.4511794657831312,,,,-0.5933127926429655,-0.1408883764769489,-0.4524244161660167
64,0.5,False,14,5794,-0.587804694236818,-0.1391429218965304,-0.4486617723402876,,,,-0.591426472967747,-0.1402243189115597,-0.4512021540561873,,,,,,
65,0.5,False,14,5890,-0.5878163666259879,-0.1391430986779254,-0.4486732679480624,,,,-0.591438175972437,-0.1402245078279358,-0.451213668144501,,,,,,
66,0.5,False,14,5938,-0.5878212209850676,-0.1391431879137756,-0.4486780330712919,,,,-0.5914430430630377,-0.1402246022322314,-0.4512184408308063,,,,,,
67,0.5,False,14,6142,-0.587841902305188,-0.1391434987714383,-0.4486984035337495,,,,-0.5914637780311907,-0.1402249344965178,-0.4512388435346728,,,,,,
68,0.5,False,14,6238,-0.5878506098293877,-0.139143665111053,-0.4487069447183347,,,,-0.5914725080510254,-0.1402251098785802,-0.4512473981724451,,,,,,
69,0.5,False,14,6382,-0.5878644998716445,-0.1391438835559864,-0.4487206163156579,,,,-0.5914864342519448,-0.1402253426873258,-0.4512610915646189,,,,,,
70,0.5,False,14,6478,-0.5878737583862265,-0.1391440237836542,-0.4487297346025722,,,,-0.5914957169904358,-0.1402254925443636,-0.4512702244460722,,,,,,
71,0.5,False,14,6574,-0.587881567696352,-0.1391441553731693,-0.4487374123231827,,,,-0.5915035466014539,-0.1402256324368272,-0.4512779141646266,,,,,,
72,0.5,False,14,6814,-0.5879014481589827,-0.13914443482569,-0.4487570133332927,,,,-0.5915234782611636,-0.1402259323543905,-0.451297545906773,,,,,,
